sampleID,feature,avg,variance,stdev,min,max,median,q25,q75,q5,q95
LP0020_01,Fragment lengths,169.5783278,0.006404312006021158,0.0800269454997575,169.3481952,169.7357748,169.57752275000001,169.5464787,169.635065575,169.436440305,169.67860322500002
LP0020_01,CNA: tMAD,0.004403923083333333,6.041864901312269e-7,7.772943394437058e-4,0.002653054,0.006142742,0.004338548,0.00404100825,0.00474585475,0.0033448305500000004,0.00599828615
LP0020_01,CNA: ichorCNA,0.009100208333333333,5.129402381205674e-6,0.0022648183991670666,0.003709,0.01171,0.009763,0.008967,0.0105425,0.00438605,0.011337
LP0020_02,Fragment lengths,173.10464165625,0.008343018523576926,0.09134012548478859,172.8262402,173.2493101,173.12725925,173.0736629,173.167800975,172.887647135,173.20254222
LP0020_02,CNA: tMAD,0.008164728145833333,4.454761727372681e-6,0.0021106306468382102,0.002638007,0.013152648,0.00838995,0.006977690000000001,0.00930405175,0.0050352965,0.011699800899999998
LP0020_02,CNA: ichorCNA,0.012653270833333334,1.4546219010195034e-5,0.0038139505778385535,0.00748,0.02105,0.011134999999999999,0.009711000000000001,0.015245000000000002,0.00877855,0.020203
LP0020_03,Fragment lengths,173.20380857708332,0.008666927683413126,0.09309633549938003,172.9388148,173.38174,173.20494605,173.1608598,173.27739342499999,173.0536124,173.31415068500002
LP0020_03,CNA: tMAD,0.006316914541666666,7.441921939988254e-6,0.002727988625340702,0.002942146,0.013899375,0.005332411,0.00433569925,0.00844789575,0.0033420870999999997,0.011045861
LP0020_03,CNA: ichorCNA,0.010361437499999999,9.097605017287234e-6,0.0030162236351582478,0,0.01331,0.010725,0.009994999999999999,0.012252500000000001,0.0026404000000000006,0.013054
LP0020_04,Fragment lengths,171.229787525,0.005543580468549749,0.07445522458867308,171.010739,171.3454948,171.23120735,171.2042563,171.28386765,171.055183005,171.31044544000002
LP0020_04,CNA: tMAD,0.013215375916666668,9.01208297770561e-6,0.003002013154152661,0.005729485,0.018192336,0.0135263685,0.011395444000000001,0.014910607999999999,0.00712410075,0.01714504475
LP0020_04,CNA: ichorCNA,0.011130208333333334,7.654183187056738e-5,0.008748818884316178,0,0.02392,0.014475,0,0.018005,0,0.022814
LP0020_05,Fragment lengths,169.46400737291665,0.005872812263808673,0.07663427603761043,169.2386979,169.6168016,169.4546844,169.42701165,169.51690977500002,169.324256665,169.55666744500002
LP0020_05,CNA: tMAD,0.008777304166666666,3.7978550920525675e-6,0.0019488086340255597,0.005033958,0.012615275,0.00875259,0.007721875,0.00991939625,0.00573618465,0.012389220799999998
LP0020_05,CNA: ichorCNA,0.010402895833333333,1.600403835062057e-5,0.004000504761979489,0,0.01844,0.010136,0.00864875,0.0122025,0.002450700000000001,0.016465
LP0020_06,Fragment lengths,167.79820738125,0.007954864825352877,0.08919004891439895,167.5972751,167.9946904,167.79019045,167.72213385,167.87035545,167.69264959999998,167.92032138
LP0020_06,CNA: tMAD,0.010444745354166667,1.619699580835015e-5,0.004024549143488019,0.005386335,0.0232704,0.008543525,0.007721875,0.0117323165,0.0066707547,0.017794919
LP0020_06,CNA: ichorCNA,0.012970270833333334,1.1655677478280143e-5,0.0034140412238694694,0.007437,0.02085,0.012580000000000001,0.00973375,0.0160775,0.0081202,0.017725499999999998
LP0020_07,Fragment lengths,167.208811375,0.005565881200139266,0.0746048336244996,167.0353613,167.388435,167.22009795,167.16632815,167.25736845,167.096449315,167.30256037
LP0020_07,CNA: tMAD,0.006399566354166667,1.1255672026383297e-5,0.003354947395471842,0.002943747,0.023277584,0.0047522855,0.004633125,0.007721875,0.00364406805,0.0106478071
