sampleID,phenotype,id,tmad_vs_control,tmad_vs_none,tmad_is_control,file_name,ref_genome,settings,gc_bias,settings_verbose,trimming,genome
LP0020_01,healthy_control,10,0.00363778308446852,0.00713546135085164,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38noalt/True40/tMAD_results.tsv,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt
LP0020_01,healthy_control,11,0.00363846625593551,0.0050322507213413,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38noalt/TrueDI1230XA/tMAD_results.tsv,0memhg38noalt,TrueDI1230XA,GC bias corrected,Moderate,Untrimmed,hg38noalt
LP0020_01,healthy_control,12,0.00474919606031405,0.00754336946810834,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38noalt/TrueDI26830XA/tMAD_results.tsv,0memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38noalt
LP0020_01,healthy_control,5,0.00433900474841295,0.0047564057834698,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38/TrueDI1230XA/tMAD_results.tsv,0memhg38,TrueDI1230XA,GC bias corrected,Moderate,Untrimmed,hg38
LP0020_01,healthy_control,6,0.00265305395678038,0.00726835533819119,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38/TrueDI26830XA/tMAD_results.tsv,0memhg38,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38
LP0020_01,healthy_control,7,0.00473995062492219,0.00614023108175586,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38noalt/False40/tMAD_results.tsv,0memhg38noalt,False40,GC bias not corrected,Lenient,Untrimmed,hg38noalt
LP0020_01,healthy_control,8,0.00463312500000002,0.00981801844834809,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38noalt/FalseDI1230XA/tMAD_results.tsv,0memhg38noalt,FalseDI1230XA,GC bias not corrected,Moderate,Untrimmed,hg38noalt
LP0020_01,healthy_control,9,0.0043385484077943,0.0098176761370011,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38noalt/FalseDI26830XA/tMAD_results.tsv,0memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38noalt
LP0020_01,healthy_control,23,0.00543763950117155,0.00772187500000001,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38noalt/TrueDI1230XA/tMAD_results.tsv,30memhg38noalt,TrueDI1230XA,GC bias corrected,Moderate,Trimmed,hg38noalt
LP0020_01,healthy_control,24,0.00433718027970194,0.00683267598353091,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38noalt/TrueDI26830XA/tMAD_results.tsv,30memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38noalt
LP0020_01,healthy_control,3,0.00474919606031405,0.00726056958584662,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38/FalseDI26830XA/tMAD_results.tsv,0memhg38,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38
LP0020_01,healthy_control,13,0.00364120340661261,0.00573906009037668,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38/False40/tMAD_results.tsv,30memhg38,False40,GC bias not corrected,Lenient,Trimmed,hg38
LP0020_01,healthy_control,1,0.00433718027970193,0.00643537681440693,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38/False40/tMAD_results.tsv,0memhg38,False40,GC bias not corrected,Lenient,Untrimmed,hg38
LP0020_01,healthy_control,2,0.00404945297619115,0.00463312499999999,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38/FalseDI1230XA/tMAD_results.tsv,0memhg38,FalseDI1230XA,GC bias not corrected,Moderate,Untrimmed,hg38
LP0020_01,healthy_control,20,0.00474816744654706,0.00772187500000001,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38noalt/FalseDI1230XA/tMAD_results.tsv,30memhg38noalt,FalseDI1230XA,GC bias not corrected,Moderate,Trimmed,hg38noalt
LP0020_01,healthy_control,4,0.00613897634908932,0.010810625,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38/True40/tMAD_results.tsv,0memhg38,True40,GC bias corrected,Lenient,Untrimmed,hg38
LP0020_01,healthy_control,18,0.00573358310554044,0.0105247444435918,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38/TrueDI26830XA/tMAD_results.tsv,30memhg38,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38
LP0020_01,healthy_control,19,0.00474200281788031,0.00772187500000001,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38noalt/False40/tMAD_results.tsv,30memhg38noalt,False40,GC bias not corrected,Lenient,Trimmed,hg38noalt
LP0020_01,healthy_control,15,0.0043385484077943,0.00726251506877972,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38/FalseDI26830XA/tMAD_results.tsv,30memhg38,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38
LP0020_01,healthy_control,21,0.00474919606031405,0.00772187500000001,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38noalt/FalseDI26830XA/tMAD_results.tsv,30memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38noalt
LP0020_01,healthy_control,22,0.00473380207746319,0.00911827760265337,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38noalt/True40/tMAD_results.tsv,30memhg38noalt,True40,GC bias corrected,Lenient,Trimmed,hg38noalt
LP0020_01,healthy_control,14,0.0043385484077943,0.00516408371431343,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38/FalseDI1230XA/tMAD_results.tsv,30memhg38,FalseDI1230XA,GC bias not corrected,Moderate,Trimmed,hg38
LP0020_01,healthy_control,16,0.00433809221618532,0.00655453573472583,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38/True40/tMAD_results.tsv,30memhg38,True40,GC bias corrected,Lenient,Trimmed,hg38
LP0020_01,healthy_control,17,0.00334343347212081,0.0058630265040789,TRUE,/Users/ivna/00_projects/AACR/hg38/features/30memhg38/TrueDI1230XA/tMAD_results.tsv,30memhg38,TrueDI1230XA,GC bias corrected,Moderate,Trimmed,hg38
LP0020_02,healthy_control,11,0.00923149177691786,0.0133111350931539,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38noalt/TrueDI1230XA/tMAD_results.tsv,0memhg38noalt,TrueDI1230XA,GC bias corrected,Moderate,Untrimmed,hg38noalt
LP0020_02,healthy_control,9,0.00991596149799156,0.0131526482151597,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38noalt/FalseDI26830XA/tMAD_results.tsv,0memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38noalt
LP0020_02,healthy_control,10,0.00852866934365398,0.00952093347212082,TRUE,/Users/ivna/00_projects/AACR/hg38/features/0memhg38noalt/True40/tMAD_results.tsv,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt
